Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|07/01/2025|Vente|468000,00||||B078|FARGES|1550|FARGES|01|158||B|815||||||||||||0||||||J||78
|||||||000001|07/01/2025|Vente|468000,00|454||RUE|0090|DE LA REPUBLIQUE|1550|FARGES|01|158||B|910||||||||||||0|3|Dépendance||0|0|S||133
|||||||000001|07/01/2025|Vente|468000,00|454||RUE|0090|DE LA REPUBLIQUE|1550|FARGES|01|158||B|910||||||||||||0|1|Maison||111|5|S||133
|||||||000001|06/01/2025|Vente|180000,00||||B158|LE VILLAGE|1200|MONTANGES|01|257||AC|334||||||||||||0||||||S||46
|||||||000001|06/01/2025|Vente|180000,00||||B158|LE VILLAGE|1200|MONTANGES|01|257||AC|338||||||||||||0||||||J||17
|||||||000001|06/01/2025|Vente|180000,00|66||RUE|0050|DE LA FRUITIERE|1200|MONTANGES|01|257||AC|341||||||||||||0|2|Appartement||87|4|S||76
|||||||000001|06/01/2025|Vente|490000,00||||B060|PETIT CORGENON|1310|BUELLAS|01|65||B|176||||||||||||0||||||S||415
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|3|Dépendance||0|0|S||500
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|3|Dépendance||0|0|S||500
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|1|Maison||190|6|S||500
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|3|Dépendance||0|0|S||500
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|3|Dépendance||0|0|S||500
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|3|Dépendance||0|0|AG||2452
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|3|Dépendance||0|0|AG||2452
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|1|Maison||190|6|AG||2452
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|3|Dépendance||0|0|AG||2452
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1705||||||||||||0|3|Dépendance||0|0|AG||2452
|||||||000001|06/01/2025|Vente|490000,00|459|B|CHE|0356|DU PETIT CORGENON|1310|BUELLAS|01|65||B|1707||||||||||||0||||||S||270
|||||||000001|09/01/2025|Vente|183000,00|250||AV|0041|DE BELLE FERME|1170|GEX|01|173||AH|194||218|35,74|||||||||1|2|Appartement||35|2|||
|||||||000001|09/01/2025|Vente|183000,00|||AV|0041|DE BELLE FERME|1170|GEX|01|173||AH|194||401|12,00|||||||||1|3|Dépendance||0|0|||
|||||||000001|09/01/2025|Vente|183000,00|250||AV|0041|DE BELLE FERME|1170|GEX|01|173||AH|194||254|13,09|||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2025|Vente|295000,00|129||RTE|0800|DE LA FRAZE|1990|BANEINS|01|28||C|162||||||||||||0|1|Maison||95|2|S||965
|||||||000001|07/01/2025|Vente|295000,00||||B001|LES BAGES|1990|BANEINS|01|28||ZB|99||||||||||||0||||||AG||143
|||||||000001|07/01/2025|Vente|295000,00||||B001|LES BAGES|1990|BANEINS|01|28||ZB|100||||||||||||0||||||AG||197
|||||||000001|06/01/2025|Vente en l'état futur d'achèvement|543510,00||||B005|PAIMBOEUF|1210|FERNEY-VOLTAIRE|01|160||AO|226||70|79,10|||||||||1||||||||
|||||||000001|06/01/2025|Vente en l'état futur d'achèvement|543510,00||||B005|PAIMBOEUF|1210|FERNEY-VOLTAIRE|01|160||AO|226||121||||||||||1||||||||
|||||||000001|08/01/2025|Vente|131937,30|62||CHE|0950|DU PEUPLE|1330|AMBERIEUX-EN-DOMBES|01|5||AC|291||90||||||||||1|3|Dépendance||0|0|||
|||||||000001|08/01/2025|Vente|131937,30|62||CHE|0950|DU PEUPLE|1330|AMBERIEUX-EN-DOMBES|01|5||AC|291||1||||||||||1|2|Appartement||49|2|||
|||||||000001|09/01/2025|Vente|173000,00|5270|||B006|GRAND FAUBOURG|1290|PONT-DE-VEYLE|01|306||A|1292||1||||||||||1|3|Dépendance||0|0|||
|||||||000001|09/01/2025|Vente|173000,00|5338|||B006|GRAND FAUBOURG|1290|PONT-DE-VEYLE|01|306||A|1294||1|78,91|||||||||1|2|Appartement||78|3|||
|||||||000001|06/01/2025|Vente|425000,00|64||CHE|0180|DE L' ETANG RATIER|1390|RANCE|01|318||A|950||||||||||||0|1|Maison||110|5|S||500
|||||||000001|06/01/2025|Vente|425000,00|64||CHE|0180|DE L' ETANG RATIER|1390|RANCE|01|318||A|950||||||||||||0|3|Dépendance||0|0|AG||777
|||||||000001|06/01/2025|Vente|425000,00|64||CHE|0180|DE L' ETANG RATIER|1390|RANCE|01|318||A|950||||||||||||0|1|Maison||110|5|AG||777
|||||||000001|06/01/2025|Vente|425000,00|64||CHE|0180|DE L' ETANG RATIER|1390|RANCE|01|318||A|950||||||||||||0|3|Dépendance||0|0|S||500
|||||||000001|09/01/2025|Vente|1165000,00|171||RUE|0245|DES MORILLES|1710|THOIRY|01|419||BT|214||||||||||||0|3|Dépendance||0|0|S||860
|||||||000001|09/01/2025|Vente|1165000,00|171||RUE|0245|DES MORILLES|1710|THOIRY|01|419||BT|214||||||||||||0|1|Maison||190|5|S||860
|||||||000001|09/01/2025|Vente|1165000,00|171||RUE|0245|DES MORILLES|1710|THOIRY|01|419||BT|214||||||||||||0|3|Dépendance||0|0|S||860
|||||||000002|07/01/2025|Vente|630000,00|390||RUE|0142|VIE CREUSE|1550|POUGNY|01|308||B|1495||||||||||||0|3|Dépendance||0|0|S||761
|||||||000002|07/01/2025|Vente|630000,00|390||RUE|0142|VIE CREUSE|1550|POUGNY|01|308||B|1495||||||||||||0|1|Maison||100|3|S||761
|||||||000001|09/01/2025|Vente|6570,00||||B042|SUR LA COTE|1250|SIMANDRE-SUR-SURAN|01|408||E|204||||||||||||0||||||L|FRICH|748
|||||||000001|09/01/2025|Vente|6570,00||||B042|SUR LA COTE|1250|SIMANDRE-SUR-SURAN|01|408||E|205||||||||||||0||||||L|FRICH|1650
|||||||000001|09/01/2025|Vente|6570,00||||B098|LONGS CHAMPS|1250|SIMANDRE-SUR-SURAN|01|408||E|509||||||||||||0||||||T||3327
|||||||000001|09/01/2025|Vente|6570,00||||B141|A LA RONGE|1250|SIMANDRE-SUR-SURAN|01|408||E|534||||||||||||0||||||T||6019
|||||||000001|09/01/2025|Vente|6570,00||||B141|A LA RONGE|1250|SIMANDRE-SUR-SURAN|01|408||E|535||||||||||||0||||||T||3672
|||||||000001|09/01/2025|Vente|6570,00||||B141|A LA RONGE|1250|SIMANDRE-SUR-SURAN|01|408||E|536||||||||||||0||||||T||9721
|||||||000001|09/01/2025|Vente|314000,00|110||RUE|1984|JEAN LOUIS MASSOT|1000|BOURG-EN-BRESSE|01|53||CD|311||||||||||||0|1|Maison||144|6|S||983
|||||||000001|09/01/2025|Vente|314000,00|110||RUE|1984|JEAN LOUIS MASSOT|1000|BOURG-EN-BRESSE|01|53||CD|311||||||||||||0|3|Dépendance||0|0|S||983
|||||||000001|06/01/2025|Vente|414665,00|124||CHE|0032|DE CHAMP JOURNET|1630|CHALLEX|01|78||B|218||11|65,71|21||||||||2|3|Dépendance||0|0|||
|||||||000001|06/01/2025|Vente|414665,00|124||CHE|0032|DE CHAMP JOURNET|1630|CHALLEX|01|78||B|218||11|65,71|21||||||||2|2|Appartement||67|3|||
|||||||000001|06/01/2025|Vente|414665,00|124||CHE|0032|DE CHAMP JOURNET|1630|CHALLEX|01|78||B|218||48||||||||||1|3|Dépendance||0|0|||
|||||||000001|06/01/2025|Vente|414665,00|124||CHE|0032|DE CHAMP JOURNET|1630|CHALLEX|01|78||B|218||64||||||||||1|3|Dépendance||0|0|||
